UID,Grad status
A1556,DROPPED
A2914,GRADUATED
A4976,GRADUATED
A6613,GRADUATED
A7476,GRADUATED
A8612,GRADUATED
A4213,DROPPED
A9574,GRADUATED
A1374,DROPPED
A8333,GRADUATED
A9632,GRADUATED
A1537,GRADUATED
A4625,GRADUATED
A6874,GRADUATED
A7634,GRADUATED
A8537,GRADUATED
A1831,GRADUATED
A4574,GRADUATED
A7214,DROPPED
A5642,GRADUATED
A1183,GRADUATED
A9149,GRADUATED
A9865,RETURNING (2019)
A6529,GRADUATED
A9227,GRADUATED
A9186,GRADUATED
A1385,GRADUATED
A9489,DROPPED
A7933,GRADUATED
A9768,GRADUATED
A7955,DROPPED
A9955,GRADUATED
A9513,DROPPED
A3192,GRADUATED
A4217,GRADUATED
A8459,GRADUATED
A5887,GRADUATED
A1976,DROPPED
A7437,GRADUATED
A8215,GRADUATED
A9589,GRADUATED
A3432,DROPPED
A3844,RETURNING (2019)
A4515,GRADUATED
A1962,GRADUATED
A2786,GRADUATED
A5591,GRADUATED
A1511,GRADUATED
A9299,GRADUATED
A7561,GRADUATED
A1666,GRADUATED
A3827,GRADUATED
A6975,DROPPED
A3837,GRADUATED
A7686,GRADUATED
A7354,GRADUATED
A4676,GRADUATED
A9897,GRADUATED
A6871,DROPPED
A2185,GRADUATED
A8353,DROPPED
A8961,GRADUATED
A4236,DROPPED
A7117,GRADUATED
A4973,DROPPED
A5115,GRADUATED
A8299,GRADUATED
A3328,GRADUATED
A1291,GRADUATED
A2844,GRADUATED
A2377,GRADUATED
A7969,DROPPED
A4627,GRADUATED
A3974,GRADUATED
A6723,GRADUATED
A7351,GRADUATED
A7772,DROPPED
A4798,GRADUATED
A3664,GRADUATED
A3867,GRADUATED
A6373,RETURNING (2019)
A9223,DROPPED
A5756,DROPPED
A4595,GRADUATED
A9855,DROPPED
A4414,RETURNING (2019)
A6643,RETURNING (2019)
A5511,GRADUATED
A5824,GRADUATED
A8894,GRADUATED
A8271,GRADUATED
A9866,GRADUATED
A3161,GRADUATED
A5255,GRADUATED
A2423,GRADUATED
A4243,GRADUATED
A6984,GRADUATED
A9685,GRADUATED
A8275,GRADUATED
A5492,GRADUATED
A4493,GRADUATED
A3655,DROPPED
A1575,DROPPED
A9471,GRADUATED
A1561,GRADUATED
A6273,GRADUATED
A8133,GRADUATED
A1664,GRADUATED
A1233,GRADUATED
A5154,GRADUATED
A9999,DROPPED
A4812,GRADUATED
A5698,GRADUATED
A5121,GRADUATED
A7294,GRADUATED
A4995,GRADUATED
A5358,GRADUATED
A4168,GRADUATED
A5327,GRADUATED
A6344,GRADUATED
A6594,GRADUATED
A6496,GRADUATED
A4861,GRADUATED
A3876,GRADUATED
A6485,RETURNING (2019)
A6672,GRADUATED
A9668,GRADUATED
A5335,GRADUATED
A7315,GRADUATED
A7452,GRADUATED
