UID,FINAL STATUS
A7946,DROPPED
A5163,GRADUATED
A7853,DROPPED
A1196,GRADUATED
A4294,GRADUATED
A9997,GRADUATED
A4343,GRADUATED
A4411,GRADUATED
A3382,GRADUATED
A7227,GRADUATED
A4851,GRADUATED
A7474,GRADUATED
A9587,GRADUATED
A9867,DROPPED
A9817,GRADUATED
A4472,GRADUATED
A9534,GRADUATED
A8226,GRADUATED
A4749,DROPPED
A4529,GRADUATED
A7465,MISSING POST
A3322,GRADUATED
A1574,GRADUATED
A7854,GRADUATED
A9667,MISSING POST
A5186,GRADUATED
A9147,GRADUATED
A9678,GRADUATED
A4479,GRADUATED
A3168,DROPPED
A9118,GRADUATED
A1929,DROPPED
A8945,GRADUATED
A6231,GRADUATED
A1517,GRADUATED
A7793,GRADUATED
A7147,GRADUATED
A1178,GRADUATED
A7655,DROPPED
A8886,MISSING POST
A7993,GRADUATED
A7889,GRADUATED
A3323,GRADUATED
A5116,GRADUATED
A1421,GRADUATED
A9436,GRADUATED
A3959,DROPPED
A5858,GRADUATED
A5199,GRADUATED
A4774,MISSING POST
A7136,GRADUATED
A7121,GRADUATED
A6247,GRADUATED
A6765,GRADUATED
A8185,DROPPED
A4477,GRADUATED
A6624,MISSING POST
A9532,MISSING POST
A5753,GRADUATED
A7761,GRADUATED
A8346,GRADUATED
A9714,GRADUATED
A7991,GRADUATED
A5351,GRADUATED
A1827,DROPPED
A7289,DROPPED
A6661,GRADUATED
A2151,GRADUATED
A3645,GRADUATED
A4437,GRADUATED
A9839,DROPPED
A1129,GRADUATED
A9821,GRADUATED
A3274,GRADUATED
A1778,GRADUATED
A6255,MISSING POST
A5867,GRADUATED
A9825,GRADUATED
A3294,GRADUATED
A9636,GRADUATED
A2314,MISSING POST
A8488,DROPPED
A6484,DROPPED
A7983,GRADUATED
A2899,GRADUATED
A6797,GRADUATED
A6551,GRADUATED
A3923,GRADUATED
A4846,GRADUATED
A2362,DROPPED
A2477,GRADUATED
A1477,GRADUATED
A7951,GRADUATED
A4176,GRADUATED
A4855,GRADUATED
A8614,GRADUATED
A9652,GRADUATED
A8754,GRADUATED
A2978,GRADUATED
A1898,GRADUATED
A1286,GRADUATED
A6523,GRADUATED
A2458,DROPPED
A3683,GRADUATED
A3429,GRADUATED
A3529,GRADUATED
A2652,GRADUATED
A4878,GRADUATED
A3138,DROPPED
A3224,GRADUATED
A4949,GRADUATED
A1246,GRADUATED
A2952,DROPPED
A5496,DROPPED
A2699,GRADUATED
A6584,DROPPED
A8238,DROPPED
A5929,GRADUATED
A8864,DROPPED
A9727,GRADUATED
A5932,GRADUATED
A9188,GRADUATED
A5536,GRADUATED
A6843,DROPPED
A4993,MISSING POST
A1698,GRADUATED
A8669,GRADUATED
A8336,GRADUATED
A8359,DROPPED
A8499,DROPPED
A6515,DROPPED
A6497,GRADUATED
A9973,GRADUATED
A2296,GRADUATED
A9732,GRADUATED
A4542,MISSING POST
A4338,GRADUATED
A7625,GRADUATED
A5299,GRADUATED
A7485,GRADUATED
A2223,GRADUATED
A6851,GRADUATED
A3397,GRADUATED
A6553,GRADUATED
A6634,GRADUATED
A2189,DROPPED
A3989,GRADUATED
A7927,GRADUATED
A6492,DROPPED
A3365,GRADUATED
A2469,MISSING POST
A7852,GRADUATED
A4432,DROPPED
A7572,GRADUATED
A5538,GRADUATED
A1255,GRADUATED
A5283,GRADUATED
A6235,MISSING POST
A2827,GRADUATED
A5425,GRADUATED
A7694,GRADUATED
A9971,GRADUATED
A4763,DROPPED
A8479,DROPPED
A8794,GRADUATED
A8125,GRADUATED
A5218,DROPPED
A7323,GRADUATED
A2981,GRADUATED
A4685,DROPPED
A1355,DROPPED
A7811,GRADUATED
A2381,GRADUATED
A1528,GRADUATED
A3845,GRADUATED
A1525,DROPPED
A9747,GRADUATED
A2179,DROPPED
A7258,GRADUATED
A2192,GRADUATED
A7148,DROPPED
A1965,MISSING POST
A9337,GRADUATED
A3885,GRADUATED
A4964,GRADUATED
A5784,GRADUATED
A9734,GRADUATED
A7982,GRADUATED
A2759,GRADUATED
A8217,GRADUATED
A8658,GRADUATED
A9875,GRADUATED
A8444,DROPPED
A3559,GRADUATED
A2567,GRADUATED
A2863,DROPPED
A3542,MISSING POST
A1273,GRADUATED
A8626,GRADUATED
A6316,DROPPED
A7331,GRADUATED
A2111,GRADUATED
A6173,GRADUATED
A7679,GRADUATED
A9769,GRADUATED
A6276,DROPPED
A2465,GRADUATED
A3242,GRADUATED
A8957,GRADUATED
A9139,GRADUATED
A4159,GRADUATED
A2734,GRADUATED
A9154,GRADUATED
A4643,GRADUATED
A9159,DROPPED
A3143,GRADUATED
A2368,GRADUATED
A5291,GRADUATED
A1387,GRADUATED
A2311,GRADUATED
A2399,GRADUATED
A6678,GRADUATED
A6863,GRADUATED
A4413,MISSING POST
A4715,GRADUATED
A6955,GRADUATED
A6761,GRADUATED
A7276,GRADUATED
A8771,MISSING POST
A2115,GRADUATED
A2463,GRADUATED
A5475,GRADUATED
A4689,DROPPED
A2233,GRADUATED
A2969,GRADUATED
A7971,GRADUATED
A7279,GRADUATED
A4813,GRADUATED
A2583,MISSING POST
A1464,DROPPED
A6552,GRADUATED
A5777,DROPPED
A8949,GRADUATED
A9386,GRADUATED
A6413,GRADUATED
A1722,GRADUATED
A1124,GRADUATED
A2263,GRADUATED
A2155,GRADUATED
A8751,GRADUATED
A6916,GRADUATED
A2979,GRADUATED
A2549,GRADUATED
A7695,DROPPED
A6536,GRADUATED
A9665,GRADUATED
A8769,GRADUATED
A2134,GRADUATED
A9473,GRADUATED
A4488,DROPPED
A9168,GRADUATED
A7674,GRADUATED
A5284,DROPPED
A6947,GRADUATED
A3535,GRADUATED
A3468,MISSING POST
A9158,GRADUATED
A4395,MISSING POST
A4729,GRADUATED
A9643,GRADUATED
A8958,GRADUATED
A2218,GRADUATED
A7884,GRADUATED
A1194,MISSING POST
A8715,DROPPED
A4372,MISSING POST
A7335,GRADUATED
A8276,DROPPED
A8343,GRADUATED
A9812,GRADUATED
A8833,MISSING POST
A2929,GRADUATED
A2534,GRADUATED
A1618,GRADUATED
A6683,MISSING POST
A5976,GRADUATED
A1175,GRADUATED
A6868,DROPPED
A1717,GRADUATED
A6162,GRADUATED
A8324,GRADUATED
A5294,DROPPED
A3941,DROPPED
A8154,GRADUATED
A3185,MISSING POST
A6772,MISSING POST
A7769,GRADUATED
A9313,GRADUATED
A4222,GRADUATED
A5384,DROPPED
A3238,GRADUATED
A3451,GRADUATED
A1749,DROPPED
A5944,GRADUATED
A6319,GRADUATED
A4633,GRADUATED
A4335,GRADUATED
A3226,GRADUATED
A2756,GRADUATED
A9615,GRADUATED
A1978,GRADUATED
A5835,GRADUATED
A3895,GRADUATED
A7873,GRADUATED
A9978,DROPPED
A9432,DROPPED
A3858,GRADUATED
A5461,DROPPED
A9515,DROPPED
A5758,MISSING POST
A9135,GRADUATED
A9151,GRADUATED
A7778,GRADUATED
A5626,GRADUATED
A1928,GRADUATED
A9111,GRADUATED
A8289,MISSING POST
A2765,GRADUATED
A2339,DROPPED
A5625,GRADUATED
A7658,GRADUATED
A6577,DROPPED
A5225,DROPPED
A8321,MISSING POST
A5574,GRADUATED
A6362,GRADUATED
A8331,GRADUATED
A4914,DROPPED
A7645,MISSING POST
A2543,DROPPED
A3359,DROPPED
A8843,GRADUATED
A8272,GRADUATED
A9511,GRADUATED
A4296,MISSING POST
A1365,GRADUATED
A7415,GRADUATED
A7738,GRADUATED
A7948,DROPPED
A3862,GRADUATED
A7776,GRADUATED
A7651,GRADUATED
A7426,GRADUATED
A6432,GRADUATED
A3232,GRADUATED
A9344,GRADUATED
A1258,GRADUATED
A7247,GRADUATED
A6628,GRADUATED
A6636,GRADUATED
A7466,DROPPED
A9847,GRADUATED
A4266,GRADUATED
A6568,MISSING POST
A6759,DROPPED
A6791,GRADUATED
A6656,GRADUATED
A7118,GRADUATED
A3183,MISSING POST
A1478,DROPPED
A2287,DROPPED
A4136,GRADUATED
A1856,MISSING POST
A6736,DROPPED
A9571,GRADUATED
A9463,GRADUATED
A3191,GRADUATED
A6146,GRADUATED
A7733,GRADUATED
A4286,GRADUATED
A2651,DROPPED
A7417,GRADUATED
A4548,GRADUATED
A1884,GRADUATED
A6288,DROPPED
A2581,GRADUATED
A6557,DROPPED
A5552,GRADUATED
A4688,GRADUATED
A6842,GRADUATED
A4582,GRADUATED
A6591,DROPPED
A5778,GRADUATED
A7914,GRADUATED
A6491,GRADUATED
A2829,GRADUATED
A9529,GRADUATED
A1996,GRADUATED
A5825,GRADUATED
A8879,GRADUATED
A7974,GRADUATED
A4811,GRADUATED
A2421,GRADUATED
A5841,GRADUATED
A4978,GRADUATED
A1276,GRADUATED
A4181,GRADUATED
A3459,GRADUATED
A2587,GRADUATED
A8322,DROPPED
A9784,GRADUATED
A5545,GRADUATED
A1772,MISSING POST
A2449,GRADUATED
A8722,MISSING POST
A4832,GRADUATED
A5434,MISSING POST
A2898,GRADUATED
A5992,DROPPED
A4863,GRADUATED
A9641,GRADUATED
A3735,GRADUATED
A8788,GRADUATED
A7535,GRADUATED
A5472,GRADUATED
A4251,GRADUATED
A7771,GRADUATED
A5159,GRADUATED
A6859,GRADUATED
A8145,GRADUATED
A8929,GRADUATED
A9873,GRADUATED
A2374,GRADUATED
A7365,MISSING POST
A1967,GRADUATED
A1979,DROPPED
A8338,GRADUATED
A5471,GRADUATED
A2493,GRADUATED
A6844,GRADUATED
A9956,GRADUATED
A4695,DROPPED
A8757,GRADUATED
A8993,GRADUATED
A4672,GRADUATED
A6418,GRADUATED
A4823,GRADUATED
A3268,GRADUATED
A3889,GRADUATED
A1776,GRADUATED
A6846,GRADUATED
A7171,GRADUATED
A5143,GRADUATED
A9266,GRADUATED
A9694,GRADUATED
A8462,DROPPED
A5984,GRADUATED
A1813,GRADUATED
A3489,GRADUATED
A1775,GRADUATED
A9579,GRADUATED
A6549,GRADUATED
A6445,GRADUATED
A7997,GRADUATED
A3662,GRADUATED
A9361,DROPPED
