UID,Status
A9329,Graduated
A9562,Dropped
A9737,Dropped
A4883,Graduated
A9566,Dropped
A6411,Graduated
A1877,Graduated
A8252,Graduated
A6896,Graduated
A7929,Graduated
A6119,Graduated
A2932,Graduated
A1644,Graduated
A4848,Graduated
A4919,Graduated
A6293,Dropped
A1386,Dropped
A9823,Graduated
A7941,Graduated
A4259,Graduated
A5125,Graduated
A6976,Dropped
A4274,Graduated
A4115,Dropped
A8574,Graduated
A5332,Dropped
A3439,Graduated
A4538,Dropped
A1782,Graduated
A5994,Dropped
A4462,Graduated
A9567,Graduated
A5741,Graduated
A3821,Graduated
A2419,Graduated
A2779,Graduated
A3169,Graduated
A1376,Graduated
A7297,Graduated
A2875,Graduated
A5497,Dropped
A9755,Graduated
A9458,Graduated
A2393,Graduated
A8937,Dropped
A5949,Dropped
A8139,Graduated
A2253,Graduated
A9757,Graduated
A6919,Graduated
A1985,Graduated
A8421,Graduated
A5369,Dropped
A4617,Dropped
A7516,Dropped
A9215,Graduated
A5286,Graduated
A7622,Graduated
A3437,Graduated
A6186,Graduated
A5529,Graduated
A8476,Dropped
A8446,Graduated
A8585,Graduated
A5968,Dropped
A4934,Graduated
A4156,Graduated
A9868,Graduated
A4853,Graduated
A4947,Graduated
A3824,Graduated
A4783,Graduated
A6115,Graduated
A5587,Dropped
A2877,Graduated
A6428,Graduated
A7449,Dropped
A6251,Graduated
A5455,Graduated
A5557,Graduated
A7867,Graduated
A6742,Graduated
A9649,Dropped
A8395,Graduated
A1765,Graduated
A9184,Graduated
A3398,Graduated
A8361,Graduated
A2918,Dropped
A3667,Graduated
A9212,Dropped
A7995,Dropped
A8447,Graduated
A3574,Graduated
A4451,Graduated
A7812,Graduated
A9279,Graduated
A6221,Dropped
A7765,Dropped
A7722,Dropped
A8731,Graduated
A8562,Dropped
A1949,Dropped
A7244,Graduated
A1455,Graduated
A5936,Graduated
A5348,Graduated
A5863,Graduated
A4155,Graduated
A7821,Graduated
