UID,Status
A6148,Dropped
A1456,Dropped
A1759,Graduate
A6639,Graduate
A7632,Returning
A6351,Graduate
A1555,Graduate STF
A1696,Graduate PCEP
A4476,Graduate
A4884,Graduate
A9166,Graduate
A4248,Graduate
A8616,Dropped
A7648,Graduate PCEP
A3681,Returning
A2999,Dropped
A3194,Dropped
A5112,Returning
A9558,Graduate
A3312,Graduate PCEP
A6416,Graduate
A9121,Graduate PCEP
A7998,Graduate STF
A4778,Graduate
A2447,Dropped
A1992,Graduate PCEP
A5236,Returning
A4982,Graduate PCEP
A3176,Graduate PCEP
A4187,Graduate STF
A1217,Dropped
A5363,Graduate PCEP
A5694,Returning
A9992,Returning
A3769,Graduate PCEP
A5371,Returning
A4784,Graduate
A4379,Graduate
A4738,Dropped
A2569,Graduate
A1622,Returning
A2775,Graduate PCEP
A4536,Graduate
A6282,Dropped
A8193,Graduate PCEP
A6943,Graduate PCEP
A7373,Graduate PCEP
A7576,Dropped
A5149,Dropped
A8844,Graduate PCEP
A8379,Dropped
A7173,Dropped
A1248,Graduate
A5598,Graduate PCEP
A5996,Graduate
A1436,Returning
A9464,Graduate PCEP
A5745,Dropped
A3532,Graduate
A6133,Graduate
A2211,Graduate
A4985,Graduate PCEP
A4291,Graduate PCEP
A7672,Graduate
A4998,Graduate
A2736,Graduate PCEP
A9389,Returning
A3965,Graduate PCEP
A1794,Dropped
A1534,Graduate PCEP
A3946,Graduate
A1254,Returning
A7167,Dropped
A2225,Graduate
A9541,Dropped
A9286,Returning
A1142,Graduate
A2474,Returning
A8557,Graduate
A1377,Graduate PCEP
A4786,Graduate STF
A1161,Graduate PCEP
A9783,Returning
A7435,Graduate
A6924,Graduate PCEP
A4669,Graduate
A2762,Dropped
A5523,Graduate
A3948,Graduate PCEP
A6776,Graduate PCEP
A4788,Dropped
A6679,Graduate PCEP
A2778,Graduate
A1558,Graduate STF
A5583,Graduate PCEP
A8369,Returning
A6157,Dropped
A8774,Dropped
A4622,Graduate PCEP
A4736,Graduate PCEP
A6196,Graduate
A5498,Graduate
A9346,Dropped
A4999,Graduate
A9913,Returning
A1349,Graduate PCEP
A2892,Graduate
A3461,Graduate PCEP
A7592,Graduate PCEP
A8122,Graduate
A9951,Graduate
A9754,Graduate PCEP
A2255,Graduate PCEP
A5448,Dropped
A4171,Graduate PCEP
A9393,Graduate
A4468,Graduate PCEP
A8492,Dropped
A1684,Graduate PCEP
A4885,Dropped
A2843,Graduate PCEP
A2394,Dropped
A1443,Graduate
A4326,Graduate PCEP
A9296,Graduate PCEP
A7756,Graduate
A2286,Dropped
A9254,Returning
A1371,Dropped
A7628,Graduate PCEP
A7677,Graduate PCEP
A4292,Graduate PCEP
A4922,Graduate PCEP
A2294,Dropped
A1447,Graduate
A1655,Dropped
A9119,Returning
A8347,Dropped
A4596,Graduate
A7525,Dropped
A1729,Graduate
A9274,Graduate STF
A9192,Graduate
A9746,Dropped
A7489,Graduate
A5456,Dropped
A6241,Graduate STF
A8827,Graduate
A9193,Returning
A3794,Dropped
A7671,Graduate PCEP
A4348,Dropped
A7977,Graduate STF
A4735,Graduate PCEP
A7987,Graduate PCEP
A3825,Graduate STF
A7866,Graduate
A8581,Graduate
A2519,Graduate STF
A9942,Graduate STF
A1859,Graduate
A9181,Graduate PCEP
A7689,Graduate STF
A6436,Graduate
A3488,Graduate
A9863,Graduate
A5792,Graduate PCEP
A6576,Returning
A9289,Dropped
A5423,Returning
A7581,Returning
A1755,Graduate
A2327,Graduate PCEP
A7585,Dropped
A1171,Graduate
A4648,Graduate
A7882,Dropped
A1147,Graduate PCEP
A2265,Graduate
A5443,Dropped
A7386,Returning
A1425,Dropped
A1993,Dropped
A4551,Graduate
A5381,Dropped
A9249,Graduate
A6887,Graduate
A2621,Returning
A9925,Graduate PCEP
A8463,Returning
A6831,Dropped
A3198,Graduate PCEP
A2257,Dropped
A6747,Graduate PCEP
A8877,Dropped
A7468,Dropped
A4223,Graduate PCEP
A6137,Dropped
A6982,Dropped
A6964,Returning
A7115,Graduate
A2851,Graduate PCEP
A9762,Graduate
A8567,Dropped
A8851,Graduate PCEP
A6311,Graduate
A1524,Graduate
A4273,Graduate PCEP
A2942,Graduate PCEP
A2643,Dropped
A3236,Graduate PCEP
A4297,Dropped
A5653,Graduate
A5379,Graduate PCEP
A3533,Dropped
A5763,Graduate PCEP
A1351,Graduate PCEP
A8128,Graduate
A9492,Graduate PCEP
A8341,Returning
A5873,Dropped
A3865,Graduate PCEP
A3951,Dropped
A6172,Returning
A2479,Graduate
A4671,Dropped
A4694,Graduate
A5376,Graduate
A5175,Graduate PCEP
A9976,Graduate
A6755,Dropped
A5336,Graduate
A8181,Dropped
A5561,Graduate
A6184,Dropped
A5898,Graduate PCEP
A7785,Graduate
A8743,Dropped
A6398,Graduate STF
A2125,Graduate STF
A5365,Returning
A8292,Graduate PCEP
A8392,Dropped
A4836,Graduate PCEP
A6778,Graduate PCEP
A3597,Graduate PCEP
A7123,Graduate
A2713,Dropped
A9733,Graduate
A4932,Graduate
A5533,Returning
A1282,Graduate
A3616,Dropped
A7116,Graduate
A8531,Graduate
A3815,Graduate
A6384,Dropped
A5883,Returning
A1854,Graduate
A2147,Graduate STF
A3165,Graduate PCEP
A7412,Dropped
A8428,Graduate
