UID,Status
A2413,Dropped
A5459,Dropped
A9595,Graduated
A5974,Graduate
A7918,Graduated
A5917,Graduated
A2876,Graduated
A8318,Graduate
A5912,Dropped
A5385,Graduate
A9167,Graduate
A8393,Graduate
A1911,Graduated
A7355,Graduated
A4428,Graduated
A7937,Graduate
A3875,Graduated
A3693,Graduate
A7457,Graduated
A2662,Graduate
A9183,Graduate
A3971,Graduated
A7185,Graduate
A9199,Graduated
A2874,Graduate
A6444,Graduated
A6653,Graduated
A4743,Dropped
A5573,Graduate
A6294,Graduated
A4881,Graduated
A6925,Graduated
A2794,Graduated
A1164,Graduated
A8456,Graduate
A6676,Graduated
A5735,Graduated
A7843,Dropped
A1173,Graduated
A3558,Graduate
A2212,Graduate
A1476,Dropped
A6781,Graduated
A3368,Graduated
A6482,Graduated
A2336,Graduated
A7967,Graduate
A8519,Graduated
A5349,Graduate
A6261,Graduate
A8386,Dropped
A4227,Dropped
A5235,Graduated
A1878,Dropped
A3734,Graduated
A3958,Graduated
A2565,Graduated
A5347,Graduated
A6681,Graduated
A7766,Dropped
A7858,Graduate
A1857,Graduate
A8934,Graduated
A6589,Graduated
A3728,Graduated
A8127,Graduated
A7165,Graduated
A7198,Graduated
A2949,Graduated
A1347,Dropped
A8856,Graduate
A4796,Graduated
A4988,Graduate
A5594,Graduated
A4654,Graduated
A7454,Graduate
A1432,Graduate
A3615,Graduated
A1496,Graduated
A7713,Graduated
A1153,Graduated
A4772,Graduate
A1733,Graduated
A6321,Graduate
A6884,Graduated
A1446,Graduated
A6253,Graduated
A5596,Graduated
A2536,Graduated
A7447,Graduate
A5446,Graduate
A4543,Graduated
A8539,Graduate
A1862,Graduated
A8497,Graduated
A2292,Graduate
A7575,Graduated
A9828,Dropped
A4838,Graduate
A1954,Graduated
A7594,Graduated
A1296,Graduate
A4915,Dropped
A2789,Graduate
A4513,Dropped
A6694,Graduate
A8394,Graduate
A9128,Graduated
A8525,Graduated
A5728,Graduated
A5435,Graduated
A8514,Graduate
A3764,Graduated
A2197,Graduate
A9856,Dropped
A1855,Graduated
A6376,Graduate
A7656,Graduated
A5715,Graduate
A3225,Dropped
A9975,Graduated
A2947,Graduated
A4876,Dropped
A5214,Dropped
A1127,Dropped
A8157,Graduated
A4178,Graduated
A9397,Graduated
A5166,Graduate
A7759,Graduated
A2136,Graduated
A8382,Dropped
A7378,Graduate
A1359,Graduated
A3575,Graduated
A9719,Dropped
A7395,Graduate
A9889,Graduate
A5522,Graduate
A5896,Graduate
A6483,Graduate
A2425,Graduate
A6564,Graduate
A7869,Graduated
A5195,Graduate
A3387,Graduated
A3266,Graduate
A7487,Graduated
A2182,Graduate
A2278,Graduate
A3262,Graduated
A5517,Graduated
A8976,Graduated
A1867,Graduated
A1459,Graduated
A1213,Dropped
A5749,Graduate
A5399,Dropped
A9228,Graduate
A5418,Dropped
A2168,Graduated
A1815,Graduate
A2924,Graduate
A9314,Graduate
A7681,Graduated
A9794,Graduate
A8923,Graduated
A8837,Graduated
A8233,Graduate
A7169,Graduate
A1452,Graduate
A1261,Graduate
A4991,Graduated
A6861,Graduated
A6789,Graduated
A8452,Graduated
A9362,Graduated
A9884,Graduate
A7531,Graduated
A1826,Graduate
A6811,Graduated
A8777,Graduated
A6467,Graduate
A9724,Graduated
A1241,Graduated
A6167,Graduated
