UID,Grad status
A6323,drop
A9453,Graduate
A9394,Graduate
A9568,Graduate
A2252,Drop
A2496,Graduate
A8411,Participant
A1784,Drop
A5987,Graduate
A4875,Graduate
A2186,Participant
A2486,Graduate
A6118,Graduate
A9792,Participant
A3918,Graduate
A6969,Graduate
A8131,Participant
A5765,Graduate
A1191,Graduate
A4963,Graduate
A6579,Graduate
A7236,Graduate
A8483,Graduate
A1149,Participant
A2886,Graduate
A6498,Graduate
A7192,participant
A3686,Drop
A1938,Participant
A1839,Drop
A6512,Graduate
A9763,Graduate
A5918,Graduate
A8913,Participant
A9954,Graduate
A8736,Graduate
A3462,Graduate
A5768,Graduate
A2149,Graduate
A9248,Graduate
A3235,Graduate
A2822,Graduate
A7119,Graduate
A8828,Graduate
A8911,Participant
A6744,Graduate
A8733,Participant
A6511,Drop
A4887,Graduate
A7922,Graduate
A2959,Participant
A5477,Participant
A5816,Drop
A8786,Drop
A5463,Graduate
A9585,Participant
A6958,Participant
A9622,Graduate
A1285,Graduate
A3119,Drop
A4228,Participant
A5764,Graduate
A2284,Graduate
A4519,Drop
A4583,Graduate
A1518,Participant
A4651,Participant
A2392,Graduate
A3484,Graduate
A7596,Participant
A8371,Graduate
A4927,Drop
A5569,Drop
A3343,Graduate
A6371,Graduate
A6876,Participant
A1589,Drop
A8645,Graduate
A2517,Participant
A8975,Graduate
A3998,Graduate
A3155,Graduate
A1973,Participant
A1211,Graduate
A9912,Participant
A3257,Graduate
A5724,Graduate
A3618,Participant
A7748,Graduate
A6585,Participant
A9673,Graduate
A6329,Graduate
A9145,Graduate
A7959,Participant
A8312,Participant
A9411,Graduate
A3421,Graduate
A4764,Drop
A4951,Participant
A3787,Graduate
A2964,Drop
A2437,Graduate
A2551,Graduate
A1373,participant
A5227,Drop
A6733,Participant
A1238,Participant
A2411,Graduate
A7975,Drop
A6558,Graduate
A1418,Participant
A6911,Participant
A8955,Graduate
A2376,Graduate
A7574,Participant
A7439,Participant
A9629,Drop
A5144,Drop
A9624,Graduate
A4219,Graduate
A8475,Graduate
A9131,Graduate
A2398,Graduate
A4968,Graduate
A7593,Participant
A7393,Drop
A2618,Graduate
A5526,Participant
A5743,Graduate
A5465,Graduate
A3864,Graduate
A1438,Participant
A3353,graduate
A8738,Participant
A2596,Graduate
A2885,Participant
A5913,Graduate
A8998,Drop
A8169,Drop
A5213,Participant
A2174,Drop
A6853,drop
A6477,Graduate
A1585,Graduate
A4541,Graduate
A4288,Graduate
A3621,Graduate
A8422,Participant
A2239,Participant
A1146,Drop
A9635,Participant
A4747,Graduate
A1951,Participant
A3789,Graduate
A9251,Graduate
A4129,participant
A5635,Graduate
A7152,Drop
A7921,Graduate
A1975,Participant
A1334,Graduate
A1724,Graduate
A1227,Drop
A3688,Participant
A1557,Graduate
A8633,Participant
A4514,Graduate
A3979,Participant
A7163,Participant
A6347,Graduate
A2472,Graduate
A1995,Graduate
A3947,Participant
A2738,Graduate
A3633,Participant
A1963,Graduate
A9644,Graduate
A8944,Participant
A2594,Graduate
A5757,Drop
A7755,Participant
A8373,Graduate
A5484,Graduate
A1139,participant
A2566,Graduate
A8685,Graduate
A1721,Graduate
A1356,Drop
A2259,Graduate
A3878,Graduate
A3386,Graduate
A5333,Graduate
A8129,Graduate
A4491,Participant
A6233,Graduate
A7157,Graduate
A2547,Graduate
A8229,Graduate
A6912,Graduate
A8693,Graduate
A3651,Participant
A6667,Graduate
A5956,Participant
A7923,Graduate
A4563,Participant
A9434,Drop
A8572,Participant
A9991,Graduate
A2793,Graduate
A3189,Graduate
A1181,Participant
A5368,Graduate
A4696,Graduate
A1565,Participant
A6946,Graduate
A5629,Participant
A2275,Graduate
A1642,Drop
A1299,Graduate
A7851,Participant
A6265,Participant
A1361,Graduate
A2883,Graduate
A8696,Graduate
A3962,Participant
A4312,Participant
