UID,Grad status
A9373,Drop
A1599,Graduate
A5479,Drop
A9657,Drop
A7591,Graduate
A5612,Graduate
A3485,Graduate
A6794,Graduate
A3493,Graduate
A7712,Drop
A9775,Drop
A9437,Drop
A3839,Graduate
A4358,Graduate
A1156,Graduate
A3671,Graduate
A7847,Drop
A1613,Drop
A6799,Graduate
A2614,Participant
A2152,Graduate
A1999,Graduate
A3985,Graduate
A2138,Graduate
A7397,Participant
A5878,Graduate
A8326,Drop
A8311,Graduate
A5632,Drop
A3245,Graduate
A4492,Graduate
A6812,Graduate
A3816,Graduate
A7132,Graduate
A8885,Graduate
A7199,Graduate
A9822,Graduate
A1762,Drop
A7947,Graduate
A3132,Drop
A3347,Drop
A8159,Graduate
A9672,Graduate
A8294,Graduate
A4353,Graduate
A8365,Graduate
A2813,Graduate
