UID,Grad status
A1773,Drop
A1487,Participant
A8849,Participant
A6474,Participant
A5977,Drop
A2455,Drop
A2845,Drop
A1112,Drop
A6645,Graduate
A2684,Graduate
A3638,Participant
A6246,Participant
A7245,Participant
A9414,Participant
A9282,Participant
A4762,Drop
A6592,Drop
A1652,Drop
A9986,Drop
A1982,Drop
A4891,Drop
A3932,Drop
A7361,Drop
A9921,Drop
A8966,Drop
A2711,Drop
A5839,Drop
A7751,Graduate
A6547,Graduate
A2466,Graduate
A9352,Graduate
A9988,Graduate
A4553,Graduate
A6841,Graduate
A7688,Graduate
A6264,Graduate
A7714,Graduate
A8235,Graduate
A9594,Graduate
A8469,Graduate
A2195,Graduate
A7767,Graduate
A5272,Graduate
A2144,Graduate
A7267,Graduate
A5528,Graduate
A7257,Graduate
A4238,Graduate
A2995,Graduate
A4483,Graduate
A1682,Graduate
A3375,Graduate
A4829,Participant
A5114,Participant
A3933,Participant
A3724,Participant
A1169,Participant
A9496,Drop
A5146,Drop
A2351,Drop
A3992,Drop
A8348,Drop
A8445,Drop
A8337,Drop
A6228,Drop
A8675,Drop
A6126,Drop
A7637,Drop
A8213,Drop
A5622,Drop
A7344,Drop
A8183,Drop
A3496,Drop
A8559,Drop
A6284,Drop
A6565,Graduate
A5231,Graduate
A1688,Graduate
A7992,Graduate
A1531,Graduate
A1445,Graduate
A2559,Graduate
A8262,Graduate
A2597,Graduate
A4935,Graduate
A9938,Graduate
A4655,Graduate
A5649,Graduate
A4787,Graduate
A7877,Graduate
A7739,Graduate
A5354,Graduate
A1833,Graduate
A5499,Graduate
A7636,Graduate
A5562,Graduate
A8493,Graduate
A4113,Graduate
A4957,Graduate
A2564,Graduate
A7197,Graduate
A2563,Participant
A4771,Participant
A2167,Participant
A9656,Participant
A9542,Participant
A3747,Participant
A7479,Participant
A1379,Participant
A6348,Participant
A6995,Participant
A6383,Drop
A2231,Drop
A3589,Drop
A9756,Drop
A9495,Drop
A9531,Drop
A7631,Drop
A8978,Drop
A2888,Drop
A9553,Drop
A2598,Graduate
A4528,Graduate
A8495,Graduate
A3358,Graduate
A7455,Graduate
A2427,Graduate
A2573,Graduate
A7822,Graduate
A9854,Graduate
A3267,Graduate
A8815,Graduate
A6195,Graduate
A4387,Graduate
A6528,Graduate
A2441,Graduate
A7135,Graduate
A5519,Graduate
A1745,Graduate
A1236,Graduate
A7963,Graduate
A4828,Graduate
A6229,Participant
A2864,Participant
A1118,Participant
A5721,Participant
A2127,Participant
A7836,Participant
A9886,Participant
A5959,Participant
A3795,Participant
A5766,Drop
A7292,Drop
A4512,Drop
A6647,Drop
A4678,Drop
A2882,Drop
A6669,Drop
A7318,Drop
A8819,Drop
A9876,Drop
A5911,Graduate
A3579,Graduate
A5119,Graduate
A6967,Graduate
A1117,Graduate
A8625,Graduate
A7742,Graduate
A7327,Graduate
A8972,Graduate
A9581,Graduate
A8546,Graduate
A4867,Participant
A2163,Participant
A2688,Participant
A2315,Participant
A9191,Drop
A2417,Drop
A6277,Drop
A8617,Drop
A8119,Drop
A3145,Drop
A7949,Drop
A3652,Drop
A3583,Graduate
A5854,Graduate
A1668,Graduate
A7736,Graduate
A5145,Graduate
A8388,Graduate
A3571,Graduate
A1228,Graduate
A3929,Graduate
A6463,Graduate
A1566,Participant
A2323,Participant
A3371,Drop
A1536,Drop
A9837,Drop
A7493,Drop
A5874,Graduate
A1922,Graduate
A9325,Graduate
A7341,Graduate
A9297,Graduate
A2625,Graduate
A5382,Graduate
A1323,Graduate
A9345,Participant
A2985,Participant
A9123,Participant
A8487,Graduate
A1193,Graduate
A2143,Graduate
A6837,Participant
A4959,Participant
A1116,Drop
A2273,Participant
A8686,Drop
A2383,Graduate
A1267,Graduate
A6274,Graduate
A5565,Graduate
A6259,Participant
A3548,Drop
A4653,Drop
A2873,Drop
A6212,Graduate
A2248,Drop
A1469,Graduate
A5796,Drop
A4347,Drop
A9267,Drop
A3996,Graduate
A8114,Graduate
A3778,Graduate
A7924,Graduate
A4376,Participant
A8641,Participant
A9752,Participant
A5673,Participant
A7568,Participant
