UID,Grad status
A7231,Participant
A3293,Graduate
A2968,Graduate
A4359,Graduate
A9474,Graduate
A1687,Graduate
A4133,Graduate
A2944,Drop
A7381,Graduate
A4221,Drop
A1295,Graduate
A7857,Drop
A7383,Graduate
A4298,Drop
A9642,Graduate
A1559,Graduate
A2497,Graduate
A6141,Drop
A8284,Drop
A5117,Graduate
A6713,Drop
A5245,Graduate
A8244,Graduate
A7794,Graduate
A1844,Graduate
A9695,Graduate
A6554,Graduate
A3812,Graduate
A4418,Participant
A6757,Graduate
A1541,Graduate
A2787,Drop
A4374,Drop
A4898,Graduate
A4626,Participant
A8638,Drop
A8287,Graduate
A4967,Drop
A2193,Graduate
A2191,Graduate
A7813,Drop
A8455,Graduate
A3287,Participant
A9891,Graduate
A5147,Drop
A2654,Graduate
A6327,Graduate
A3882,Graduate
A9795,Graduate
A7879,Graduate
A7265,Participant
A2146,Graduate
A7237,Graduate
A5868,Drop
A7159,Drop
A6675,Drop
A5177,Drop
A6649,Graduate
A9479,Graduate
A3265,Graduate
A9592,Graduate
A4741,Graduate
A6478,Graduate
A5281,Graduate
A9271,Graduate
A9134,Graduate
A7224,Graduate
A2774,Graduate
A3452,Graduate
A8628,Drop
A1756,Participant
A7582,Participant
A1332,Participant
A7723,Drop
A4817,Participant
A7872,Graduate
A8118,Graduate
A9689,Graduate
A7521,Graduate
A7161,Graduate
A8974,Graduate
A3826,Graduate
A4638,Graduate
A3761,Participant
A6664,Drop
A9625,Graduate
A2544,Graduate
A6388,Graduate
A6899,Graduate
A2663,Graduate
