UID,Response ID,Status,Your birth YEAR (Ex. 1988),Your AVANCE site: ,Dallas Sites,"P-C Interactions, ECLS-B_READ",...8,"P-C Interactions, ECLS-B...9",...10,"P-C Interactions, ECLS-B...11",...12,"P-C Interactions, ECLS-B...13",...14,"P-C Interactions, HOME...15",...16,"P-C Interactions, HOME...17",...18,ECLSB_ALL,Parental Stress_PSOC #1,...21,Parental Stress_PSOC #2,R...23,Parental Stress_PSOC #3,R...25,Parental Stress_PSOC #5,R...27,Parental Stress_PSOC #8,R...29,Parental Stress_PSOC #10,...31,Parental Stress_PSOC #13,...33,Parental Stress_PSOC #15,...35,Parental Stress_PSOC #16,...37,Parental Stress_PSOC #17,...39,psoc_all,"P-C Interactions, FIQ SBI1",...42,"P-C Interactions, FIQ SBI2",...44,"P-C Interactions, FIQ SBI3",...46,"P-C Interactions, FIQ SBI4",...48,FIQSB_ALL,"P-C Interactions, FIQ HBI1",...51,"P-C Interactions, FIQ HBI2",...53,"P-C Interactions, FIQ HBI3",...55,"P-C Interactions, FIQ HBI4",...57,"P-C Interactions, FIQ HBI5",...59,"P-C Interactions, FIQ HBI6",...61,"P-C Interactions, FIQ HBI8",...63,"P-C Interactions, FIQ HBI9",...65,"P-C Interactions, FIQ HBI10",...67,"P-C Interactions, FIQ HBI11",...69,"P-C Interactions, FIQ HBI12",...71,"P-C Interactions, FIQ HBI13",...73,fiqhb_all,"P-C Interactions, FIQ HSC3",...76,"P-C Interactions, FIQ HSC4",...78,"P-C Interactions, FIQ HSC5",...80,"P-C Interactions, FIQ HSC6",...82,"P-C Interactions, FIQ HSC7",...84,FIQHSC_ALL,Efficacy FES1,...87,Efficacy FES3,...89,Efficacy FES4,...91,Efficacy FES6,...93,FESFAM_ALL,Efficacy FES7,...96,Efficacy FES9,...98,Efficacy FES10,...100,Efficacy FES11,...102,Efficacy FES14,...104,FESADV_ALL,Belonging SCS1,R...107,Belonging SCS2,R...109,Belonging SCS3,R...111,Belonging SCS4,R...113,Belonging SCS5,R...115,Belonging SCS6,R...117,Belonging SCS7,...119,Belonging SCS10,...121,Belonging SCS11,...123,SCS_ALL,Kinder Readiness SPEAK1,FIVE...126,Kinder Readiness SPEAK2,FIVE...128,Kinder Readiness SPEAK3,FIVE...130,Kinder Readiness SPEAK4,...132,Kinder Readiness SPEAK5,...134,Kinder Readiness SPEAK6 - REVERSE,R...136,Kinder Readiness SPEAK7 - REVERSE,R...138,Kinder Readiness SPEAK9,...140,Kinder Readiness SPEAK10,...142,Kinder Readiness SPEAK11,...144,Kinder Readiness SPEAK12,...146,Kinder Readiness SPEAK13,...148,Kinder Readiness SPEAK13 - REVERSE,...150,Kinder Readiness SPEAK14,...152,Kinder Readiness SPEAK15,...154,SPEAK_ALL
A9451,1,Partial,1979,Dallas,Clarke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2,Partial,1979,Dallas,Clarke,Every day,4,1 to 2 times a week,2,Every day,4,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,Always,5,19,Somewhat Agree,4,Disagree,5,Somewhat Agree,3,Agree,2,Strongly Agree,1,Strongly Agree,6,Strongly Agree,6,Somewhat Agree,4,Strongly Agree,6,Strongly Agree,6,43,N/A,0,N/A,0,N/A,0,Often,3,3,Often,3,Often,3,Always,4,Often,3,Often,3,Always,4,Often,3,Always,4,Always,4,Always,4,Often,3,Always,4,42,Always,4,Always,4,Always,4,Always,4,Always,4,20,Often,4,Always,5,Always,5,Often,4,18,Often,4,Always,5,Always,5,Always,5,Always,5,24,Disagree,5,Strongly Disagree,6,Strongly Disagree,6,Slightly Disagree,4,Strongly Disagree,6,Strongly Disagree,6,Strongly Agree,6,Slightly Agree,4,Strongly Agree,6,49,"As a baby, 6 to 12 months",4,"As an infant, 0 to 6 months",5,"As a toddler, 1 to 3 years",3,Strongly Agree,0,Agree,1,Strongly Agree,4,Strongly Agree,4,Strongly Agree,0,Strongly Disagree,4,Neutral,2,Neutral,2,Strongly Agree,0,Disagree,3,Strongly Disagree,4,Strongly Agree,0,36
NA,3,Partial,1979,Dallas,Clarke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4,Partial,1979,Dallas,Clarke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,5,Partial,1981,Dallas,Fort Worth 1,1 to 2 times  a week,2,1 to 2 times a week,2,3 to 6 times a week,3,1 to 2 times a week,2,Parents should <strong>usually</strong> spend time teaching their children,1,NA,NA,10,Agree,5,Somewhat Agree,3,Somewhat Agree,3,Somewhat Disagree,4,Agree,2,Agree,5,Agree,5,Agree,5,Disagree,2,Agree,5,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8411,70,Complete,1993,Dallas,Oak Hurst,1 to 2 times  a week,2,3 to 6 times a week,3,3 to 6 times a week,3,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,12,Agree,5,Strongly Disagree,6,Somewhat Agree,3,Agree,2,Strongly Agree,1,Strongly Agree,6,Agree,5,Agree,5,Somewhat Agree,4,Strongly Agree,6,43,Always,4,Always,4,Sometimes,2,Sometimes,2,12,Often,3,Always,4,Always,4,Sometimes,2,Sometimes,2,Always,4,Sometimes,2,Always,4,Always,4,Always,4,Sometimes,2,Always,4,39,Always,4,Always,4,Always,4,Often,3,Always,4,19,Often,4,Often,4,Often,4,Often,4,16,Often,4,Always,5,Often,4,Sometimes,3,Always,5,21,Agree,2,Agree,2,Slightly Agree,3,Agree,2,Slightly Agree,3,Strongly Agree,1,Agree,5,Agree,5,Disagree,2,25,"As a toddler, 1 to 3 years",3,"In preschool, 3 to 5 years",2,"In kindergarten, 5 to 6 years",1,Disagree,3,Disagree,3,Agree,3,Agree,3,Agree,1,Strongly Disagree,4,Neutral,2,Neutral,2,Disagree,3,Disagree,3,Disagree,3,Disagree,3,39
NA,8,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,9,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2116,791,Complete,1987,Dallas,Anson Jones,3 to 6 times a week,3,3 to 6 times a week,3,Every day,4,3 to 6 times a week,3,Parents should <strong>usually</strong> spend time teaching their children,1,Often,4,18,Agree,5,Disagree,5,Disagree,5,Agree,2,Agree,2,Agree,5,Agree,5,Somewhat Agree,4,Disagree,2,Agree,5,40,N/A,0,Always,4,Always,4,N/A,0,8,Often,3,Often,3,Always,4,Always,4,Always,4,Always,4,Often,3,Always,4,Always,4,Always,4,Always,4,N/A,0,41,Often,3,Always,4,Always,4,Always,4,Always,4,19,Often,4,Always,5,Always,5,Often,4,18,Always,5,Always,5,Always,5,Always,5,Always,5,25,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Strongly Disagree,6,Disagree,5,Agree,5,Agree,5,Agree,5,46,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,Disagree,3,Disagree,3,Disagree,1,Agree,3,Agree,1,Neutral,2,Disagree,3,Neutral,2,Agree,1,Neutral,2,Neutral,2,Neutral,2,39
NA,11,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
