UID,Response ID,Time Started,Date Submitted,Status,Your birth YEAR (Ex. 1988),Your AVANCE site: ,Sonoma Sites,San Antonio Sites,Hidalgo Sites,Houston Sites,Dallas Sites,Austin Sites,Starr/Zapata Sites,"P-C Interactions, ECLS-B...15","P-C Interactions, ECLS-B...16","P-C Interactions, ECLS-B...17","P-C Interactions, ECLS-B...18","P-C Interactions, HOME...19","P-C Interactions, HOME...20",Parental Stress_PSOC #1,Parental Stress_PSOC #2,Parental Stress_PSOC #3,Parental Stress_PSOC #5,Parental Stress_PSOC #8,Parental Stress_PSOC #10,Parental Stress_PSOC #13,Parental Stress_PSOC #15,Parental Stress_PSOC #16,Parental Stress_PSOC #17,"P-C Interactions, FIQ SBI1","P-C Interactions, FIQ SBI2","P-C Interactions, FIQ SBI3","P-C Interactions, FIQ SBI4","P-C Interactions, FIQ HBI1","P-C Interactions, FIQ HBI2","P-C Interactions, FIQ HBI3","P-C Interactions, FIQ HBI4","P-C Interactions, FIQ HBI5","P-C Interactions, FIQ HBI6","P-C Interactions, FIQ HBI8","P-C Interactions, FIQ HBI9","P-C Interactions, FIQ HBI10","P-C Interactions, FIQ HBI11","P-C Interactions, FIQ HBI12","P-C Interactions, FIQ HBI13","P-C Interactions, FIQ HSC3","P-C Interactions, FIQ HSC4","P-C Interactions, FIQ HSC5","P-C Interactions, FIQ HSC6","P-C Interactions, FIQ HSC7",Efficacy FES1,Efficacy FES3,Efficacy FES4,Efficacy FES6,Efficacy FES7,Efficacy FES9,Efficacy FES10,Efficacy FES11,Efficacy FES14,Belonging SCS1,Belonging SCS2,Belonging SCS3,Belonging SCS4,Belonging SCS5,Belonging SCS6,Belonging SCS7,Belonging SCS10,Belonging SCS11,Kinder Readiness SPEAK1,Kinder Readiness SPEAK2,Kinder Readiness SPEAK3,Kinder Readiness SPEAK4,Kinder Readiness SPEAK5,Kinder Readiness SPEAK6 - REVERSE,Kinder Readiness SPEAK7 - REVERSE,Kinder Readiness SPEAK9,Kinder Readiness SPEAK10,Kinder Readiness SPEAK11,Kinder Readiness SPEAK12,Kinder Readiness SPEAK13,Kinder Readiness SPEAK13 - REVERSE,Kinder Readiness SPEAK14,Kinder Readiness SPEAK15
NA,1,2020-09-17T13:59:35Z,2020-09-17T13:59:51Z,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8246,2,2020-09-22T10:58:04Z,2020-09-22T11:13:23Z,Partial,1992,Hidalgo,NA,NA,Early Head Start,NA,NA,NA,NA,3 to 6 times a week,3 to 6 times a week,Every day,1 to 2 times a week,Parents should <strong>always</strong> spend time teaching their children,NA,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Sometimes,Always,Sometimes,Often,Sometimes,Often,Always,Always,Often,Always,Often,Always,Sometimes,Always,Always,Often,Often,Always,Always,Often,Always,Always,Always,Always,Always,Often,Always,Often,Always,Sometimes,Disagree,Slightly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Slightly Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3,2020-09-22T11:56:36Z,2020-09-22T11:56:49Z,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4,2020-09-22T12:01:01Z,2020-09-22T12:01:20Z,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4616,5,2020-09-22T12:08:20Z,2020-09-22T12:47:21Z,Complete,1994,Hidalgo,NA,NA,EHS Child Care,NA,NA,NA,NA,1 to 2 times  a week,1 to 2 times a week,1 to 2 times a week,1 to 2 times a week,Parents should <strong>always</strong> spend time teaching their children,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,N/A,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Always,Often,Sometimes,Sometimes,Often,Often,Sometimes,Often,Often,Sometimes,Always,Sometimes,Sometimes,Often,Sometimes,Always,Sometimes,Slightly Agree,Slightly Agree,Disagree,Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Agree,"As a toddler, 1 to 3 years","As a toddler, 1 to 3 years","As a toddler, 1 to 3 years",Agree,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Agree
A6864,6,2020-09-22T13:26:10Z,2020-09-22T13:44:19Z,Disqualified,1979,Hidalgo,NA,NA,Early Head Start,NA,NA,NA,NA,Every day,Every day,Every day,1 to 2 times a week,Parents should <strong>always</strong> spend time teaching their children,Always,Disagree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Strongly Disagree,N/A,Sometimes,Always,Rarely,Always,Always,Always,Often,Always,Always,Sometimes,Always,Sometimes,Always,Always,Always,Sometimes,Always,Often,Always,Sometimes,Often,Always,Always,Always,Always,Always,Often,Always,Often,Disagree,Disagree,Disagree,Slightly Agree,Disagree,Agree,Agree,Agree,Agree,"As a toddler, 1 to 3 years","In kindergarten, 5 to 6 years","As a toddler, 1 to 3 years",Agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Neutral
NA,7,2020-09-23T12:03:31Z,2020-09-23T12:03:39Z,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4918,8,2020-09-23T12:04:18Z,2020-09-23T12:16:38Z,Complete,1995,Hidalgo,NA,NA,Early Head Start,NA,NA,NA,NA,1 to 2 times  a week,Not at all,Every day,Every day,Parents should <strong>usually</strong> spend time teaching their children,NA,Strongly Agree,Disagree,Agree,Somewhat Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Disagree,Agree,N/A,N/A,N/A,Sometimes,Always,Often,Rarely,Always,Sometimes,Rarely,Sometimes,Often,Always,Always,Often,N/A,Sometimes,Often,Always,Rarely,Often,Always,Always,Always,Sometimes,Always,Always,Often,Often,Never,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Agree,Slightly Agree,Slightly Agree,"As a baby, 6 to 12 months","As a baby, 6 to 12 months","As a toddler, 1 to 3 years",Neutral,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree
A4726,9,2020-09-23T13:15:33Z,2020-09-23T13:31:17Z,Complete,1996,Hidalgo,NA,NA,Early Head Start,NA,NA,NA,NA,1 to 2 times  a week,1 to 2 times a week,3 to 6 times a week,Not at all,Parents should <strong>always</strong> spend time teaching their children,Always,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,N/A,N/A,N/A,N/A,Often,Often,Rarely,Always,Always,Rarely,Rarely,Rarely,Always,Always,Often,N/A,Always,Always,Always,Always,Sometimes,Always,Always,Always,Always,Always,Always,Often,Often,Often,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,"As an infant, 0 to 6 months","As a baby, 6 to 12 months","As an infant, 0 to 6 months",Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Agree
NA,10,2020-09-23T13:29:03Z,2020-09-23T13:29:07Z,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
