UID,Response ID,Time Started,Date Submitted,Status,Your birth YEAR (Ex. 1988),Your AVANCE site: ,Houston Sites,"P-C Interactions, ECLS-B...9",...10,"P-C Interactions, ECLS-B...11",...12,"P-C Interactions, ECLS-B...13",...14,"P-C Interactions, ECLS-B...15",...16,"P-C Interactions, HOME...17",...18,"P-C Interactions, HOME...19",...20,ECLSB_ALL,Parental Stress_PSOC #1,...23,Parental Stress_PSOC #2,...25,Parental Stress_PSOC #3,...27,Parental Stress_PSOC #5,...29,Parental Stress_PSOC #8,...31,Parental Stress_PSOC #10,...33,Parental Stress_PSOC #13,...35,Parental Stress_PSOC #15,...37,Parental Stress_PSOC #16,...39,Parental Stress_PSOC #17,...41,PSOC_ALL,"P-C Interactions, FIQ SBI1",...44,"P-C Interactions, FIQ SBI2",...46,"P-C Interactions, FIQ SBI3",...48,"P-C Interactions, FIQ SBI4",...50,FIQSB_ALL,"P-C Interactions, FIQ HBI1",...53,"P-C Interactions, FIQ HBI2",...55,"P-C Interactions, FIQ HBI3",...57,"P-C Interactions, FIQ HBI4",...59,"P-C Interactions, FIQ HBI5",...61,"P-C Interactions, FIQ HBI6",...63,"P-C Interactions, FIQ HBI8",...65,"P-C Interactions, FIQ HBI9",...67,"P-C Interactions, FIQ HBI10",...69,"P-C Interactions, FIQ HBI11",...71,"P-C Interactions, FIQ HBI12",...73,"P-C Interactions, FIQ HBI13",...75,FIQHB_ALL,"P-C Interactions, FIQ HSC3",...78,"P-C Interactions, FIQ HSC4",...80,"P-C Interactions, FIQ HSC5",...82,"P-C Interactions, FIQ HSC6",...84,"P-C Interactions, FIQ HSC7",...86,FIQHSC_ALL,Efficacy FES1,...89,Efficacy FES3,...91,Efficacy FES4,...93,Efficacy FES6,...95,FESFAM_ALL,Efficacy FES7,...98,Efficacy FES9,...100,Efficacy FES10,...102,Efficacy FES11,...104,Efficacy FES14,...106,FESADV_ALL,Belonging SCS1,...109,Belonging SCS2,...111,Belonging SCS3,...113,Belonging SCS4,...115,Belonging SCS5,...117,Belonging SCS6,...119,Belonging SCS7,...121,Belonging SCS10,...123,Belonging SCS11,...125,SCS_ALL,Kinder Readiness SPEAK1,...128,Kinder Readiness SPEAK2,...130,Kinder Readiness SPEAK3,...132,Kinder Readiness SPEAK4,...134,Kinder Readiness SPEAK5,...136,Kinder Readiness SPEAK6 - REVERSE,...138,Kinder Readiness SPEAK7 - REVERSE,...140,Kinder Readiness SPEAK9,...142,Kinder Readiness SPEAK10,...144,Kinder Readiness SPEAK11,...146,Kinder Readiness SPEAK12,...148,Kinder Readiness SPEAK13,...150,Kinder Readiness SPEAK13 - REVERSE,...152,Kinder Readiness SPEAK14,...154,Kinder Readiness SPEAK15,...156,SPEAK_ALL
NA,1,2020-10-09T10:19:16Z,2020-10-09T10:19:24Z,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A9373,21,2020-10-09T13:03:45Z,2020-10-09T16:39:16Z,Complete,1993,Houston,Freeman,3 to 6 times a week,3,3 to 6 times a week,3,Every day,4,Every day,4,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,15,Agree,5,Agree,2,Strongly Agree,1,Agree,2,Strongly Agree,1,Agree,5,Strongly Disagree,1,Strongly Disagree,1,Agree,5,Strongly Disagree,1,24,N/A,0,N/A,0,N/A,0,Often,3,3,Often,3,Sometimes,2,Always,4,Always,4,Often,3,Rarely,1,Often,3,Rarely,1,Always,4,Rarely,1,Sometimes,2,Always,4,32,N/A,0,Rarely,1,Rarely,1,Rarely,1,Rarely,1,4,Always,5,Always,5,Always,5,Always,5,20,Always,5,Always,5,Always,5,Always,5,Always,5,25,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Agree,5,Agree,5,Agree,5,45,"As a toddler, 1 to 3 years",3,"As a baby, 6 to 12 months",4,"As a toddler, 1 to 3 years",3,Agree,1,Strongly Disagree,4,Agree,3,Strongly Agree,4,Agree,1,Disagree,3,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Disagree,3,Agree,1,46
A2813,3,2020-10-09T10:36:53Z,2020-10-09T10:41:53Z,Partial,1991,Houston,Freeman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2813,4,2020-10-09T10:44:42Z,2020-10-09T11:08:02Z,Partial,1991,Houston,Freeman,Not at all,NA,Not at all,NA,Not at all,NA,3 to 6 times a week,NA,Parents should <strong>always</strong> spend time teaching their children,NA,Always,NA,NA,Agree,NA,Agree,NA,Disagree,NA,Disagree,NA,Agree,NA,Disagree,NA,Disagree,NA,Disagree,NA,Somewhat Agree,NA,Somewhat Agree,NA,NA,N/A,NA,N/A,NA,Sometimes,NA,N/A,NA,NA,Rarely,NA,Rarely,NA,Rarely,NA,Sometimes,NA,Rarely,NA,Sometimes,NA,Rarely,NA,Sometimes,NA,Rarely,NA,Always,NA,Sometimes,NA,Sometimes,NA,NA,N/A,NA,Always,NA,Always,NA,Always,NA,Rarely,NA,NA,Sometimes,NA,Often,NA,Sometimes,NA,Sometimes,NA,NA,Sometimes,NA,Sometimes,NA,Never,NA,Always,NA,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1599,9,2020-10-09T11:00:44Z,2020-10-09T11:11:17Z,Complete,1991,Houston,Kruse,1 to 2 times  a week,2,Every day,4,1 to 2 times a week,2,1 to 2 times a week,2,Parents should <strong>usually</strong> spend time teaching their children,1,NA,NA,11,Strongly Disagree,1,Disagree,5,Disagree,5,Disagree,5,Agree,2,Agree,5,Somewhat Agree,4,Strongly Disagree,1,Disagree,2,Agree,5,35,Sometimes,2,Always,4,Always,4,Often,3,13,Often,3,Always,4,Always,4,Always,4,Always,4,Always,4,Often,3,Sometimes,2,Always,4,Always,4,Sometimes,2,Always,4,42,Rarely,1,Always,4,Always,4,Always,4,Always,4,17,Always,5,Sometimes,3,Always,5,Always,5,18,Sometimes,3,Always,5,Always,5,Always,5,Sometimes,3,21,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Strongly Agree,6,Strongly Agree,6,Slightly Agree,4,46,"As a baby, 6 to 12 months",4,"As a toddler, 1 to 3 years",3,"In preschool, 3 to 5 years",2,Agree,1,Disagree,3,Agree,3,Agree,3,Agree,1,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Agree,1,Agree,1,37
A5479,83,2020-11-18T16:43:23Z,2020-11-18T17:06:46Z,Complete,1994,Houston,Freeman,Not at all,1,Every day,4,Every day,4,Every day,4,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,14,Somewhat Agree,4,Disagree,5,Somewhat Disagree,4,Strongly Agree,1,Strongly Agree,1,Somewhat Agree,4,Strongly Agree,6,Somewhat Agree,4,Disagree,2,Somewhat Disagree,3,34,N/A,0,N/A,0,N/A,0,N/A,0,0,Sometimes,2,Often,3,Always,4,Often,3,Often,3,Often,3,Rarely,1,Always,4,Often,3,Rarely,1,Always,4,N/A,0,31,N/A,0,Rarely,1,Rarely,1,Rarely,1,Rarely,1,4,Often,4,Often,4,Always,5,Sometimes,3,16,Always,5,Always,5,Often,4,Always,5,Sometimes,3,22,Disagree,5,Strongly Disagree,6,Disagree,5,Slightly Agree,3,Slightly Disagree,4,Disagree,5,Agree,5,Strongly Agree,6,Agree,5,44,"As a toddler, 1 to 3 years",3,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Strongly Agree,0,Strongly Disagree,4,Strongly Agree,4,Strongly Agree,4,Neutral,2,Strongly Disagree,4,Neutral,2,Neutral,2,Neutral,2,Strongly Disagree,4,Strongly Disagree,4,Neutral,2,47
A9657,36,2020-10-12T16:38:42Z,2020-10-12T16:47:49Z,Complete,1998,Houston,Freeman,1 to 2 times  a week,2,1 to 2 times a week,2,1 to 2 times a week,2,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,Always,5,14,Somewhat Agree,4,Strongly Disagree,6,Somewhat Disagree,4,Somewhat Disagree,4,Disagree,5,Somewhat Agree,4,Somewhat Agree,4,Somewhat Agree,4,Somewhat Disagree,3,Agree,5,43,N/A,0,N/A,0,N/A,0,N/A,0,0,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Rarely,1,Rarely,1,Sometimes,2,Often,3,Sometimes,2,Sometimes,2,N/A,0,21,N/A,0,Sometimes,2,Often,3,Rarely,1,Sometimes,2,8,Often,4,Sometimes,3,Often,4,Often,4,15,Seldom,2,Often,4,Sometimes,3,Sometimes,3,Often,4,16,Slightly Disagree,4,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Agree,5,Slightly Agree,4,Agree,5,43,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,Disagree,3,Disagree,3,Neutral,2,Agree,3,Agree,1,Disagree,3,Disagree,3,Agree,1,Disagree,3,Neutral,2,Disagree,3,Disagree,3,44
A7591,14,2020-10-09T11:28:17Z,2020-10-09T11:43:13Z,Complete,1990,Houston,Kruse,1 to 2 times  a week,2,1 to 2 times a week,2,1 to 2 times a week,2,Every day,4,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,11,Agree,5,Somewhat Agree,3,Disagree,5,Agree,2,Agree,2,Agree,5,Strongly Agree,6,Somewhat Agree,4,Somewhat Disagree,3,Strongly Disagree,1,36,N/A,0,Always,4,N/A,0,N/A,0,4,Often,3,Sometimes,2,Always,4,Always,4,Always,4,Always,4,Often,3,Sometimes,2,Sometimes,2,Always,4,Sometimes,2,Often,3,37,Sometimes,2,Always,4,Often,3,Always,4,Often,3,16,Often,4,Often,4,Always,5,Often,4,17,Sometimes,3,Often,4,Often,4,Often,4,Often,4,19,Slightly Agree,3,Slightly Agree,3,Slightly Agree,3,Agree,2,Slightly Agree,3,Slightly Agree,3,Strongly Agree,6,Slightly Agree,4,Strongly Agree,6,33,"As a baby, 6 to 12 months",4,"As an infant, 0 to 6 months",5,"As a toddler, 1 to 3 years",3,Agree,1,Strongly Disagree,4,Agree,3,Strongly Agree,4,Neutral,2,Strongly Disagree,4,Neutral,2,Neutral,2,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,50
A3485,7,2020-10-09T10:54:13Z,2020-10-09T11:06:15Z,Complete,1993,Houston,Kruse,1 to 2 times  a week,2,1 to 2 times a week,2,1 to 2 times a week,2,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,9,Agree,5,Disagree,5,Disagree,5,Disagree,5,Somewhat Agree,3,Agree,5,Agree,5,Agree,5,Disagree,2,Agree,5,45,Rarely,1,Always,4,Sometimes,2,Sometimes,2,9,Sometimes,2,Sometimes,2,Always,4,Always,4,Sometimes,2,Always,4,Sometimes,2,Always,4,Sometimes,2,Always,4,Sometimes,2,Always,4,36,Sometimes,2,Always,4,Sometimes,2,Sometimes,2,Sometimes,2,12,Always,5,Always,5,Always,5,Always,5,20,Always,5,Always,5,Sometimes,3,Always,5,Always,5,23,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Agree,5,Disagree,2,Slightly Agree,4,41,"As a toddler, 1 to 3 years",3,"In preschool, 3 to 5 years",2,"As a baby, 6 to 12 months",4,Agree,1,Disagree,3,Neutral,2,Neutral,2,Neutral,2,Disagree,3,Disagree,3,Disagree,3,Agree,1,Disagree,3,Disagree,3,Neutral,2,37
A5612,57,2020-10-15T09:10:52Z,2020-10-15T09:19:42Z,Complete,1984,Houston,Kruse,1 to 2 times  a week,2,1 to 2 times a week,2,Every day,4,Not at all,1,Parents should <strong>usually</strong> spend time teaching their children,1,Always,5,15,Agree,5,Disagree,5,Somewhat Disagree,4,Somewhat Agree,3,Agree,2,Somewhat Agree,4,Agree,5,Agree,5,Somewhat Agree,4,Agree,5,42,N/A,0,N/A,0,N/A,0,N/A,0,0,Often,3,Always,4,Always,4,Always,4,Always,4,Always,4,Sometimes,2,Always,4,Always,4,Always,4,Sometimes,2,N/A,0,39,Always,4,Always,4,Always,4,Always,4,Always,4,20,Always,5,Always,5,Always,5,Always,5,20,Always,5,Often,4,Always,5,Always,5,Often,4,23,Slightly Agree,3,Slightly Agree,3,Disagree,5,Disagree,5,Slightly Agree,3,Disagree,5,Agree,5,Agree,5,Agree,5,39,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Strongly Agree,0,Disagree,3,Agree,3,Agree,3,Agree,1,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Neutral,2,45
