UID,Response ID,Time Started,Date Submitted,Status,Your birth YEAR (Ex. 1988),Your AVANCE site: ,San Antonio Sites,"P-C Interactions, ECLS-B...9",...10,"P-C Interactions, ECLS-B...11",...12,"P-C Interactions, ECLS-B...13",...14,"P-C Interactions, ECLS-B...15",...16,"P-C Interactions, HOME...17",...18,"P-C Interactions, HOME...19",...20,ECLSB_ALL,Parental Stress_PSOC #1,...23,Parental Stress_PSOC #2,...25,Parental Stress_PSOC #3,...27,Parental Stress_PSOC #5,...29,Parental Stress_PSOC #8,...31,Parental Stress_PSOC #10,...33,Parental Stress_PSOC #13,...35,Parental Stress_PSOC #15,...37,Parental Stress_PSOC #16,...39,Parental Stress_PSOC #17,...41,PSOC_ALL,"P-C Interactions, FIQ SBI1",...44,"P-C Interactions, FIQ SBI2",...46,"P-C Interactions, FIQ SBI3",...48,"P-C Interactions, FIQ SBI4",...50,FIQSB_ALL,"P-C Interactions, FIQ HBI1",...53,"P-C Interactions, FIQ HBI2",...55,"P-C Interactions, FIQ HBI3",...57,"P-C Interactions, FIQ HBI4",...59,"P-C Interactions, FIQ HBI5",...61,"P-C Interactions, FIQ HBI6",...63,"P-C Interactions, FIQ HBI8",...65,"P-C Interactions, FIQ HBI9",...67,"P-C Interactions, FIQ HBI10",...69,"P-C Interactions, FIQ HBI11",...71,"P-C Interactions, FIQ HBI12",...73,"P-C Interactions, FIQ HBI13",...75,FIQHB_ALL,"P-C Interactions, FIQ HSC3",...78,"P-C Interactions, FIQ HSC4",...80,"P-C Interactions, FIQ HSC5",...82,"P-C Interactions, FIQ HSC6",...84,"P-C Interactions, FIQ HSC7",...86,FIQHSC_ALL,Efficacy FES1,...89,Efficacy FES3,...91,Efficacy FES4,...93,Efficacy FES6,...95,FESFAM_ALL,Efficacy FES7,...98,Efficacy FES9,...100,Efficacy FES10,...102,Efficacy FES11,...104,Efficacy FES14,...106,FESADV_ALL,Belonging SCS1,...109,Belonging SCS2,...111,Belonging SCS3,...113,Belonging SCS4,...115,Belonging SCS5,...117,Belonging SCS6,...119,Belonging SCS7,...121,Belonging SCS10,...123,Belonging SCS11,...125,SCS_ALL,Kinder Readiness SPEAK1,...128,Kinder Readiness SPEAK2,...130,Kinder Readiness SPEAK3,...132,Kinder Readiness SPEAK4,...134,Kinder Readiness SPEAK5,...136,Kinder Readiness SPEAK6 - REVERSE,...138,Kinder Readiness SPEAK7 - REVERSE,...140,Kinder Readiness SPEAK9,...142,Kinder Readiness SPEAK10,...144,Kinder Readiness SPEAK11,...146,Kinder Readiness SPEAK12,...148,Kinder Readiness SPEAK13,...150,Kinder Readiness SPEAK13 - REVERSE,...152,Kinder Readiness SPEAK14,...154,Kinder Readiness SPEAK15,...156,SPEAK_ALL
A4829,2,2020-10-09T17:46:07Z,2020-10-09T18:02:34Z,Complete,1987,San Antonio,Cortez Family Center,1 to 2 times  a week,2,3 to 6 times a week,3,Every day,4,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,Often,4,16,Strongly Agree,6,Somewhat Agree,3,Disagree,5,Somewhat Disagree,4,Somewhat Agree,3,Agree,5,Somewhat Agree,4,Somewhat Agree,4,Somewhat Agree,4,Agree,5,43,N/A,0,Always,4,Always,4,N/A,0,8,Often,3,Often,3,Always,4,Always,4,Always,4,Often,3,Often,3,Often,3,Rarely,1,Always,4,Sometimes,2,Always,4,38,Always,4,Always,4,Always,4,Always,4,Always,4,20,Sometimes,3,Often,4,Often,4,Never,1,12,Often,4,Always,5,Often,4,Always,5,Sometimes,3,21,Slightly Agree,3,Slightly Agree,3,Slightly Agree,3,Agree,2,Slightly Agree,3,Slightly Disagree,4,Slightly Agree,4,Strongly Disagree,1,Strongly Disagree,1,24,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Agree,1,Disagree,3,Agree,3,Neutral,2,Neutral,2,Disagree,3,Neutral,2,Neutral,2,Neutral,2,Disagree,3,Neutral,2,Neutral,2,42
A7341,3,2020-10-11T07:57:25Z,2020-10-11T08:12:11Z,Complete,1986,San Antonio,Cortez Family Center,1 to 2 times  a week,2,Every day,4,Every day,4,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,Always,5,19,Agree,5,Strongly Disagree,6,Disagree,5,Disagree,5,Disagree,5,Strongly Agree,6,Strongly Agree,6,Strongly Agree,6,Strongly Disagree,1,Strongly Agree,6,51,Often,3,Sometimes,2,N/A,0,Sometimes,2,7,Always,4,Often,3,Always,4,Sometimes,2,Always,4,Always,4,Often,3,Always,4,Always,4,Always,4,Always,4,N/A,0,40,Always,4,Always,4,Always,4,Often,3,Always,4,19,Always,5,Always,5,Always,5,Often,4,19,Often,4,Always,5,Never,1,Sometimes,3,Always,5,18,Strongly Disagree,6,Slightly Disagree,4,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Agree,5,Agree,5,Agree,5,49,"As a baby, 6 to 12 months",4,"As an infant, 0 to 6 months",5,"As a toddler, 1 to 3 years",3,Neutral,2,Neutral,2,Neutral,2,Strongly Agree,4,Strongly Agree,0,Disagree,3,Disagree,3,Disagree,3,Strongly Disagree,4,Neutral,2,Neutral,2,Strongly Agree,0,39
A3358,4,2020-10-12T08:56:25Z,2020-10-12T09:19:39Z,Complete,1980,San Antonio,Cortez Family Center,1 to 2 times  a week,2,3 to 6 times a week,3,Every day,4,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,13,Agree,5,Strongly Disagree,6,Strongly Disagree,6,Disagree,5,Disagree,5,Strongly Agree,6,Agree,5,Strongly Agree,6,Strongly Disagree,1,Somewhat Agree,4,49,Sometimes,2,Always,4,Sometimes,2,Sometimes,2,10,Often,3,Always,4,Always,4,Rarely,1,Often,3,Always,4,Often,3,Always,4,Always,4,Always,4,Often,3,N/A,0,37,Always,4,Often,3,Often,3,Often,3,Always,4,17,Sometimes,3,Often,4,Sometimes,3,Always,5,15,Often,4,Sometimes,3,Sometimes,3,Always,5,Seldom,2,17,Disagree,5,Disagree,5,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Agree,2,Strongly Agree,6,Agree,5,Strongly Agree,6,47,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,"As a baby, 6 to 12 months",4,Neutral,2,Disagree,3,Disagree,1,Disagree,1,Disagree,3,Disagree,3,Strongly Disagree,4,Neutral,2,Disagree,3,Disagree,3,Strongly Disagree,4,Strongly Agree,0,42
A8469,5,2020-10-12T12:00:56Z,2020-10-12T12:16:41Z,Complete,1985,San Antonio,Cortez Family Center,1 to 2 times  a week,2,Not at all,1,Every day,4,Not at all,1,Parents should <strong>usually</strong> spend time teaching their children,1,Sometimes,3,12,Agree,5,Somewhat Disagree,4,Disagree,5,Disagree,5,Somewhat Agree,3,Agree,5,Agree,5,Agree,5,Strongly Disagree,1,Agree,5,43,N/A,0,N/A,0,N/A,0,N/A,0,0,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Sometimes,2,Rarely,1,Rarely,1,Always,4,N/A,0,15,N/A,0,Rarely,1,Rarely,1,Rarely,1,Rarely,1,4,Often,4,Sometimes,3,Sometimes,3,Often,4,14,Seldom,2,Seldom,2,Never,1,Seldom,2,Sometimes,3,10,Strongly Disagree,6,Disagree,5,Strongly Disagree,6,Slightly Disagree,4,Disagree,5,Disagree,5,Agree,5,Agree,5,Slightly Disagree,3,44,"As a toddler, 1 to 3 years",3,"As a baby, 6 to 12 months",4,"As a toddler, 1 to 3 years",3,Agree,1,Disagree,3,Agree,3,Neutral,2,Agree,1,Neutral,2,Neutral,2,Neutral,2,Neutral,2,Neutral,2,Disagree,3,Agree,1,34
A6592,7,2020-10-12T12:43:17Z,2020-10-12T12:57:45Z,Complete,1999,San Antonio,Cortez Family Center,1 to 2 times  a week,2,Every day,4,Every day,4,Every day,4,Parents should <strong>always</strong> spend time teaching their children,1,Always,5,20,Agree,5,Disagree,5,Somewhat Agree,3,Disagree,5,Strongly Agree,1,Agree,5,Strongly Agree,6,Strongly Agree,6,Disagree,2,Strongly Agree,6,44,N/A,0,N/A,0,N/A,0,N/A,0,0,Always,4,Always,4,Always,4,Often,3,Always,4,Sometimes,2,Always,4,Always,4,Always,4,Always,4,Always,4,N/A,0,41,N/A,0,Always,4,Always,4,Always,4,Always,4,16,Always,5,Always,5,Always,5,Always,5,20,Always,5,Always,5,Never,1,Always,5,Always,5,21,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Agree,5,Agree,5,Agree,5,45,"As a baby, 6 to 12 months",4,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,Strongly Agree,0,Disagree,3,Disagree,1,Neutral,2,Strongly Agree,0,Neutral,2,Disagree,3,Agree,1,Strongly Disagree,4,Strongly Disagree,4,Neutral,2,Agree,1,36
A5977,12,2020-10-12T14:27:47Z,2020-10-12T14:39:58Z,Complete,1996,San Antonio,Cortez Family Center,1 to 2 times  a week,2,1 to 2 times a week,2,1 to 2 times a week,2,Every day,4,Parents should <strong>usually</strong> spend time teaching their children,1,Sometimes,3,14,Somewhat Agree,4,Somewhat Disagree,4,Somewhat Disagree,4,Somewhat Agree,3,Somewhat Agree,3,Somewhat Agree,4,Somewhat Agree,4,Somewhat Agree,4,Somewhat Disagree,3,Agree,5,38,N/A,0,N/A,0,N/A,0,N/A,0,0,Sometimes,2,Sometimes,2,Sometimes,2,Often,3,Sometimes,2,Sometimes,2,Often,3,Often,3,Sometimes,2,Rarely,1,Sometimes,2,N/A,0,24,N/A,0,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,8,Sometimes,3,Sometimes,3,Often,4,Often,4,14,Sometimes,3,Often,4,Seldom,2,Seldom,2,Seldom,2,13,Disagree,5,Slightly Disagree,4,Slightly Disagree,4,Disagree,5,Disagree,5,Slightly Disagree,4,Slightly Agree,4,Slightly Agree,4,Slightly Agree,4,39,"As a baby, 6 to 12 months",4,"As a toddler, 1 to 3 years",3,"As a toddler, 1 to 3 years",3,Neutral,2,Neutral,2,Neutral,2,Neutral,2,Agree,1,Neutral,2,Agree,1,Agree,1,Agree,1,Disagree,3,Disagree,3,Neutral,2,32
A5874,13,2020-10-12T16:04:30Z,2020-10-12T16:15:53Z,Complete,1981,San Antonio,Cortez Family Center,1 to 2 times  a week,2,1 to 2 times a week,2,Every day,4,Every day,4,Parents should <strong>usually</strong> spend time teaching their children,1,Often,4,17,Strongly Disagree,1,Somewhat Agree,3,Agree,2,Disagree,5,Strongly Disagree,6,Somewhat Disagree,3,Strongly Disagree,1,Somewhat Disagree,3,Somewhat Agree,4,Somewhat Disagree,3,31,N/A,0,Sometimes,2,N/A,0,N/A,0,2,Sometimes,2,Sometimes,2,Sometimes,2,Often,3,Sometimes,2,Sometimes,2,Often,3,Rarely,1,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,25,Sometimes,2,Often,3,Sometimes,2,Often,3,Always,4,14,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,12,Sometimes,3,Sometimes,3,Always,5,Sometimes,3,Often,4,18,Strongly Disagree,6,Strongly Disagree,6,Agree,2,Disagree,5,Slightly Agree,3,Agree,2,Slightly Disagree,3,Agree,5,Agree,5,37,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Agree,1,Strongly Disagree,4,Agree,3,Strongly Agree,4,Disagree,3,Agree,1,Agree,1,Agree,1,Agree,1,Agree,1,Agree,1,Agree,1,37
A5382,14,2020-10-12T18:02:11Z,2020-10-12T18:20:50Z,Complete,1990,San Antonio,Fenley (School Based) Family Center,1 to 2 times  a week,2,1 to 2 times a week,2,1 to 2 times a week,2,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,10,Somewhat Disagree,3,Somewhat Agree,3,Somewhat Agree,3,Somewhat Disagree,4,Agree,2,Somewhat Agree,4,Somewhat Agree,4,Somewhat Agree,4,Agree,5,Agree,5,37,N/A,0,Sometimes,2,N/A,0,Often,3,5,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Often,3,Sometimes,2,Often,3,Sometimes,2,N/A,0,24,N/A,0,Sometimes,2,Often,3,Often,3,Sometimes,2,10,Sometimes,3,Sometimes,3,Often,4,Sometimes,3,13,Sometimes,3,Often,4,Sometimes,3,Often,4,Sometimes,3,17,Slightly Agree,3,Slightly Agree,3,Disagree,5,Slightly Agree,3,Slightly Disagree,4,Disagree,5,Agree,5,Agree,5,Agree,5,38,"In preschool, 3 to 5 years",2,"In kindergarten, 5 to 6 years",1,"As a toddler, 1 to 3 years",3,Disagree,3,Disagree,3,Agree,3,Agree,3,Disagree,3,Disagree,3,Disagree,3,Neutral,2,Disagree,3,Disagree,3,Disagree,3,Disagree,3,41
A1323,14,2020-10-12T18:02:11Z,2020-10-12T18:20:50Z,Complete,1990,San Antonio,Fenley (School Based) Family Center,1 to 2 times  a week,2,1 to 2 times a week,2,1 to 2 times a week,2,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,10,Somewhat Disagree,3,Somewhat Agree,3,Somewhat Agree,3,Somewhat Disagree,4,Agree,2,Somewhat Agree,4,Somewhat Agree,4,Somewhat Agree,4,Agree,5,Agree,5,37,N/A,0,Sometimes,2,N/A,0,Often,3,5,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Often,3,Sometimes,2,Often,3,Sometimes,2,N/A,0,24,N/A,0,Sometimes,2,Often,3,Often,3,Sometimes,2,10,Sometimes,3,Sometimes,3,Often,4,Sometimes,3,13,Sometimes,3,Often,4,Sometimes,3,Often,4,Sometimes,3,17,Slightly Agree,3,Slightly Agree,3,Disagree,5,Slightly Agree,3,Slightly Disagree,4,Disagree,5,Agree,5,Agree,5,Agree,5,38,"In preschool, 3 to 5 years",2,"In kindergarten, 5 to 6 years",1,"As a toddler, 1 to 3 years",3,Disagree,3,Disagree,3,Agree,3,Agree,3,Disagree,3,Disagree,3,Disagree,3,Neutral,2,Disagree,3,Disagree,3,Disagree,3,Disagree,3,41
A5528,15,2020-10-12T18:09:08Z,2020-10-12T18:41:21Z,Complete,1987,San Antonio,Fenley (School Based) Family Center,1 to 2 times  a week,2,1 to 2 times a week,2,3 to 6 times a week,3,Every day,4,Parents should <strong>always</strong> spend time teaching their children,1,Always,5,17,Agree,5,Disagree,5,Disagree,5,Disagree,5,Somewhat Agree,3,Strongly Disagree,1,Somewhat Agree,4,Somewhat Disagree,3,Disagree,2,Strongly Agree,6,39,N/A,0,Sometimes,2,N/A,0,N/A,0,2,Always,4,Sometimes,2,Always,4,Sometimes,2,Often,3,Sometimes,2,Rarely,1,Always,4,Always,4,Often,3,Often,3,N/A,0,32,N/A,0,Sometimes,2,Sometimes,2,Often,3,Sometimes,2,9,Always,5,Sometimes,3,Always,5,Always,5,18,Often,4,Always,5,Often,4,Always,5,Sometimes,3,21,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Strongly Agree,6,Strongly Agree,6,Strongly Agree,6,48,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Strongly Agree,0,Disagree,3,Disagree,1,Neutral,2,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Disagree,3,45
